code,name,faculty,duration,type,branch,section,year,credits,semesterHalf,basket,isElective,sharedWith
CS161,Problem Solving through Programming,Dr. Sunil Kumar PV,1,Lecture,DSAI,ALL,1,4,0,0,FALSE,
HS161,English Language and Communication,Dr. Rajesh N S,1,Lecture,DSAI,ALL,1,3,0,0,FALSE,ECE
PH151,Introduction to Quantum Physics,Prof. Ravishankar,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
DS151,Linux for Engineers,Dr. Vivekraj V K,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Fundamentals of Sensing and Control,Mr. Mallikarjun Kande,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Leveraging IT for Social Good & CSR,Dr. Rajesh N S,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Basics of Design,Dr. Sandesh P,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
HS156,Holistic Personality Development,Dr. Rajesh N S,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
CS151,Introduction to Cybersecurity,Dr. Girish Revadigar,1,Lecture,DSAI,ALL,1,2,1,1,TRUE,"ECE,DSAI"
MA161,Statistics,Dr. Ramesh Athe,1,Lecture,ECE,ALL,1,2,2,0,FALSE,DSAI
DS161,Introduction to DS and AI,Dr. Abdul Wahid,1,Lecture,ECE,ALL,1,2,2,0,FALSE,DSAI
MA162,Probability,Dr. Chinmayananda,1,Lecture,ECE,ALL,1,2,1,0,FALSE,DSAI
EC161,Digital Design,Dr. Prakash Pawar,1,Lecture,ECE,ALL,1,2,1,0,FALSE,DSAI
CS161,Problem Solving through Programming,Dr. Sunil Kumar PV,1,Lecture,ECE,ALL,1,4,0,0,FALSE,
HS161,English Language and Communication,Dr. Rajesh N S,1,Lecture,ECE,ALL,1,3,0,0,FALSE,DSAI
PH151,Introduction to Quantum Physics,Prof. Ravishankar,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
DS151,Linux for Engineers,Dr. Vivekraj V K,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Fundamentals of Sensing and Control,Mr. Mallikarjun Kande,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Leveraging IT for Social Good & CSR,Dr. Rajesh N S,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Basics of Design,Dr. Sandesh P,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
HS156,Holistic Personality Development,Dr. Rajesh N S,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
CS151,Introduction to Cybersecurity,Dr. Girish Revadigar,1,Lecture,ECE,ALL,1,2,1,1,TRUE,"ECE,DSAI"
CS261,Operating System,Dr. Suvadip Hazra,1,Lecture,CSE,A,2,3,1,0,FALSE,
CS261,Operating System,Dr. Suvadip Hazra,1,Lecture,CSE,B,2,3,2,0,FALSE,
CS262,Software Design Tools,Dr. Viveraj,1,Lecture,CSE,A,2,3,0,0,FALSE,
CS262,Software Design Tools,Dr. Viveraj,1,Lecture,CSE,B,2,3,0,0,FALSE,
CS263,Design and Analysis of Algorithms,Dr. Pramod Y,1,Lecture,CSE,A,2,4,0,0,FALSE,
CS263,Design and Analysis of Algorithms,Dr. Pramod Y,1,Lecture,CSE,B,2,4,0,0,FALSE,
CS264,Computer Networks,Dr. Prabhu Prasad B M,1,Lecture,CSE,A,2,4,0,0,FALSE,
CS264,Computer Networks,Dr. Prabhu Prasad B M,1,Lecture,CSE,B,2,4,0,0,FALSE,
CS261L,Operating System Lab,Dr. Suvadip Hazra,2,Lab,CSE,A,2,1,2,0,FALSE,
CS261L,Operating System Lab,Dr. Suvadip Hazra,2,Lab,CSE,B,2,1,2,0,FALSE,
CS262L,Software Design Lab,Dr. Viveraj,2,Lab,CSE,A,2,1,0,0,FALSE,
CS262L,Software Design Lab,Dr. Viveraj,2,Lab,CSE,B,2,1,0,0,FALSE,
MA201,Differential Equations,Dr. Anand Barangi,1,Lecture,CSE,A,2,4,2,0,FALSE,CSE-B
MA201,Differential Equations,Dr. Anand Barangi,1,Lecture,CSE,B,2,4,2,0,FALSE,CSE-A
NEW,Electronics System Design-I,Dr. Pankaj Kumar,2,Lecture,CSE,A,2,2,1,1,TRUE,"ECE,DSAI"
CS162,Data Science with Python,Dr. Abdul Wahid,2,Lecture,CSE,A,2,2,1,1,TRUE,"ECE,DSAI"
NEW,2D Computer Graphics,Dr. Vivekraj V K,2,Lecture,CSE,A,2,2,1,1,TRUE,"ECE,DSAI"
NEW,Introduction to RFIC Design,Dr. Sibasankar Padhy,2,Lecture,CSE,A,2,2,1,1,TRUE,"ECE,DSAI"
NEW,Electronic System Engineering,Mr. Mallikarjun Kande,2,Lecture,CSE,A,2,2,2,2,TRUE,"ECE,DSAI"
New,Introduction to Embedded Signal Intelligence,Dr. Sibasankar Padhy,2,Lecture,CSE,A,2,2,1,1,TRUE,"ECE,DSAI"
NEW,Electronics System Design-I,Dr. Pankaj Kumar,2,Lecture,CSE,B,2,2,1,1,TRUE,"ECE,DSAI"
CS162,Data Science with Python,Dr. Abdul Wahid,2,Lecture,CSE,B,2,2,1,1,TRUE,"ECE,DSAI"
NEW,2D Computer Graphics,Dr. Vivekraj V K,2,Lecture,CSE,B,2,2,1,1,TRUE,"ECE,DSAI"
NEW,Introduction to RFIC Design,Dr. Sibasankar Padhy,2,Lecture,CSE,B,2,2,1,1,TRUE,"ECE,DSAI"
NEW,Electronic System Engineering,Mr. Mallikarjun Kande,2,Lecture,CSE,B,2,2,2,2,TRUE,"ECE,DSAI"
New,Introduction to Embedded Signal Intelligence,Dr. Sibasankar Padhy,2,Lecture,CSE,B,2,2,1,1,TRUE,"ECE,DSAI"
MA262,Multivariate Calculus,Dr. Somen Bhattacharjee,1,Lecture,DSAI,ALL,2,3,1,0,FALSE,ECE
MA261,Differential Equations,Dr. Anand Barangi,1,Lecture,DSAI,ALL,2,4,2,0,FALSE,ECE
DA261,Statistical Programming,Dr. Ramesh Athe,1,Lecture,DSAI,ALL,2,4,1,0,FALSE,
DA262,Data Handling and Visualization,Dr. Siddharth R,1,Lecture,DSAI,ALL,2,3,2,0,FALSE,
CS304,Artificial Intelligence,Dr. Animesh Chaturvedi,1,Lecture,DSAI,ALL,2,3,1,0,FALSE,
CS307,Machine Learning,Dr. Utkarsh Khaire,1,Lecture,DSAI,ALL,2,4,2,0,FALSE,ECE
NEW,Electronics System Design-I,Dr. Pankaj Kumar,2,Lecture,DSAI,ALL,2,2,1,1,TRUE,"ECE,CSE"
CS162,Data Science with Python,Dr. Abdul Wahid,2,Lecture,DSAI,ALL,2,2,1,1,TRUE,"ECE,CSE"
NEW,2D Computer Graphics,Dr. Vivekraj V K,2,Lecture,DSAI,ALL,2,2,1,1,TRUE,"ECE,CSE"
